,매체명,헤드라인,내용요약,뉴스url
16,더벨,[더벨]변방서 주류로 올라 선 올리브영,차별화된 전략을 바탕으로 건강식품과 뷰티케어로 점차 사업을 확장한 올리브영은 새로운 개념을 만들었다. 몇 년 새 자주 거론되는 헬스&뷰티(H&B)스토어는 국내에만 있는 독특한 매장 형태다. 약국과 화장품 판매가...,http://www.thebell.co.kr/front/free/contents/news/article_view.asp?key=201708100100017350001051
17,이데일리,"현대홈쇼핑, 2Q 무난한 실적, 하반기 기대감 높아…목표가↑-이베스트","그는 “TV부문(T-commerce 포함) 취급고는 전년동기대비 1.8% 증가했으며 건강식품, 미용상품 등의 매출 호조가 나타났다”며 “모바일 취급고는 전년동기대비 39.4% 증가한 2136억원을 기록했는데 모바일 채널 내...",http://www.edaily.co.kr/news/newspath.asp?newsid=01653126616026336
18,충남일보,"천안시 서북구, 어린이 식품안전 우리가 책임진다!","주요 점검내용은 △유통기한 경과 제품 판매여부 △보존 및 유통기준 준수 여부 △식품 취급 종사자의 건강진단 실시 여부 △조리된 음식의 보관 및 위생상태 적정 여부 △조리 및 판매시설 등 위생관리 여부로, 식중독...",http://www.chungnamilbo.com/news/articleView.html?idxno=412289
19,경기일보,김치 나트륨ㆍ칼륨 함량 비율 일반 가공식품보다 훨씬 낮다,"경기도보건환경연구원 식품분석팀은 건강식품으로서 김치의 우수성을 입증하고 나트륨 섭취 저감으로 건강한 식습관을 유도하고자 시중에 판매되고 있는 배추김치를 대상으로 나트륨, 칼륨, 비타민C, 유산균수 등...",http://www.kyeonggi.com/?mod=news&act=articleView&idxno=1383061
20,경기일보,벌써부터 추석 준비…지역 유통업계 사전예약 돌입,대표 품목으로는 건강식품 10~55% 가공식품ㆍ생활용품 10~40% 영광굴비 20% 친환경과일세트 10% 강진맥우선물세트 10% 등을 할인 판매한다. 또 사은행사로 20ㆍ40ㆍ60ㆍ100만 원 등 금액대별 갤러리아 상품권을 지급한다....,http://www.kyeonggi.com/?mod=news&act=articleView&idxno=1383023
21,환경일보,"경기도보건환경연구원, 김치류 영양성분 분석 결과 발표","경기도보건환경연구원?식품분석팀은?건강식품으로서?김치의?우수성을?입증하고?나트륨?섭취?저감으로?건강한?식습관을?유도하고자?시중에?판매되고?있는?배추김치를?대상으로?나트륨,?칼륨,?비타민C...",http://www.hkbs.co.kr/news/articleView.html?idxno=433505
22,아시아경제,[김재호의 생명이야기] <57>혈관을 지키는 왕도,건강보조식품은 또 어떤가? 호주나 뉴질랜드를 다녀오면서 상술에 넘어가 터무니없이 비싼 제품을 사는 사람들이 많다고 한다. 과학적인 검증도 거치지 않았는데 혈관건강에 얼마나 도움을 주며 부작용은 없을까?...,http://www.asiae.co.kr/news/view.htm?idxno=2017080709411504837
23,약업신문,"광주 동구약사회, 폐의약품 처리 건 논의","이사회에는?회장단,?상임이사, 의장단, 감사단이 참석해??△팜IT3000 사용전환에 관한 건 △폐의약품에 관한 건 △건강식품이사 약국이전에 관한 건 △2017년도 전국약사대회 건 △2017년도 추계이사회에 관한 건...",http://www.yakup.com/news/index.html?mode=view&cat=13&nid=208634
24,한국경제TV,국내에서 배양 추출한 신선한 '오메가3'…중장년부터 노년층까지 건강하게,"그 중 오메가3 제품은 심혈관계 질환뿐 아니라 눈 건강, 기억력 개선 등을 위해 중장년층 및 노년층이 반드시 섭취해야 하는 건강기능식품으로 자리잡고 있다. 식품의약품안전처는 오메가3의 주요 성분인 DHA(docosa...",http://www.wowtv.co.kr/newscenter/news/view.asp?bcode=T30001000&artid=A201708110109
25,넥스트데일리,"‘삼복 더위야 물러가라~’…온·오프라인 유통채널, 말복 맞아 할인행사 등 다채",등 건강 간식 및 보조식품을 함께 선보인다. ? 던킨도너츠도 말복 행사에 동참했다. 오는 12일까지 ‘핫 샌드위치 프로모션’을 열고 치킨이 들어간 ‘핫치킨 샌드위치 콤보’ 2종에 대해 1500원 할인 혜택을...,http://www.nextdaily.co.kr/news/article.html?id=20170811800015
26,헤럴드경제,맥도날드의 외마디 비명,"소비자원은 내츄럴엔도텍을 건강기능식품에 관한 법률 등에 위반 혐의로 검찰에 수사를 의뢰했지만, 검찰은 이엽우피소를 고의로 혼입했거나 이를 묵인했다고 보기는 어렵다고 판단, 무혐의 처리했다. 결국 시민단체인...",http://news.heraldcorp.com/view.php?ud=20170811000240
27,비즈트리뷴,"말복 ""삼계탕으로 영양 보충하는 시대는 지났다""…'건강기능식품' 주목",▲ 동원F&B 제공 동원F&B는 최근 자연 건강식품 브랜드 '하루기초'를 출시했다. ‘하루기초’는 다양한 건강즙 제품들을 중심으로 자연 원료로만 만들어 더욱 건강하게 간편히 섭취할 수 있는 제품들로 구성됐다. 동원F...,http://biztribune.co.kr/n_news/news/view.php?no=23249
28,대한급식신문사,"풀무원로하스 로젠빈, '여성건강 독립만세' 캠페인 진행",풀무원건강생활(대표이사 여익현)의 건강기능식품 브랜드 풀무원로하스가 광복절을 기념해 오는 31일까지 '대한민국 여성건강 독립만세' 캠페인을 진행한다고 지난 10일 밝혔다. 풀무원로하스는 여성 전문...,http://www.fsnews.co.kr/news/articleView.html?idxno=22171
29,이데일리,"프로스테믹스, 공장 짓고 이그니스 지분 사고…식품원료업 진출",- 과민성대장증후군 관련 건강기능식품 인허가도 추진 프로스테믹스(203690)는 지난 10일 이사회를 열고 기능성 식품 원료 공장 부지 매입과 식품개발유통업체 이그니스 투자 등 안건을 승인하고 식품 원료 사업에...,http://www.edaily.co.kr/news/newspath.asp?newsid=02148406616026336
30,연합뉴스,상반기 해외직구 30% 증가…유럽·중·일 직구시장 '쑥쑥',"품목별로 보면 건강기능식품을 포함한 식품류가 372만건으로 가장 많고 화장품류 143만건, 의류 120만건 순이었다. TV나 스마트폰 등 전자제품류는 88만건으로 4위에 오르는데 그쳤다. 그러나 전년 대비 증가율로는...",http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20170811060400002&did=1195m
31,노컷뉴스,"해외 직구族, 중국산 공기청정기 많이 샀다…11배 껑충","국가별 주요 인기품목은 미국은 비타민 등 건강기능식품(30%), 유럽은 화장품 및 향수(31%), 중국은 공기청정기와 휴대전화기 등을 비롯한 전자제품류(22%), 일본은 젤리, 초콜릿 등 식품류(20%)의 비중이 높았다....",http://www.nocutnews.co.kr/news/4829709
32,이데일리,미세먼지 공포에 중국산 공기청정기 직구 11배 증가,"품목별로 보면 식품류(건강기능식품 포함)가 372만건으로 전년동기에 비해 37% 증가했고, 화장품류는 143만건으로 26%, 의류는 120만건으로 23%, 신발류는 88만건으로 32%, 완구 및 인형류는 55만건으로 53%, 가방류는...",http://www.edaily.co.kr/news/newspath.asp?newsid=02210726616026336
33,메디파나뉴스,"휴온스내츄럴 `휴온발효 허니부쉬`, 올리브영 입점","한편, 휴온스내츄럴은 의약품과 미용·성형시장에서 빠른 성장세를 이어온 토탈헬스케어 기업 휴온스의 식품·건강기능식품 자회사로, 식품 브랜드 `챙김`을 공식 런칭하고 차별화된 식품 및 건강기능식품을...",http://medipana.com/news/news_viewer.asp?NewsNum=205335&MainKind=A&NewsKind=5&vCount=12&vKind=1
34,뉴시스,"백화점업계, 2분기 성적표 '우울'···추석 선물 판매 '총력전'","예약 판매 품목은 배, 사과, 곶감 등 농산 27품목, 한우 등 축산 30품목, 굴비, 갈치 등 수산 16품목, 건강식품 24품목 등 총 177가지 품목이다. 명절 최고 인기 상품으로 꼽히는 한우는 5~10%, 굴비는 20%, 청과는 10~15...",http://www.newsis.com/view/?id=NISX20170811_0000065451&cID=13001&pID=13000
35,머니투데이,중국발 황사 때문에…중국산 공기청정기 '직구' 11배 폭증,"식품류(건강기능식품 포함)가 372만 건으로 지난해 같은 기간보다 37% 증가했다. 화장품류는 143만건으로 26%, 의류는 120만건으로 23%, 신발류는 88만건으로 32% 늘었다. 또 완구·인형류가 55만건으로 53%, 가방류가...",http://www.mt.co.kr/view/mtview.php?type=1&no=2017081109585610920&outlink=1
36,파이낸셜뉴스,올 상반기 해외직구 규모 급증..건수34%·액수30%↑,"전통적으로 해외직구 인기 품목인 식품류(건강기능식품 포함)가 372만건으로 전년 동기 대비 37%증가했다. 또 화장품류 143만건으로 26%, 의류 120만건으로 23%, 신발류 88만건으로 32%, 완구 및 인형류 55만건으로 53...",http://www.fnnews.com/news/201708110930271511
37,약업신문,"프로스테믹스,'이그니스' 지분투자...기능식품 원료사업 진출",프로스테믹스는 새로운 방식의 유산균 배양 및 분리 기술을 확보해 과민성대장증후군 개선 연구 결과를 확보했으며 이를 토대로 건강기능식품 인허가를 추진 중이다. 또 지난 7월에는 건강기능성 원료 개발을 위한...,http://www.yakup.com/news/index.html?mode=view&cat=12&nid=208639
38,의학신문,"휴온스내츄럴 ‘휴온발효 허니부쉬’, 올리브영 입점",휴온스내츄럴은 “앞으로 오프라인 매장에서 소비자들이 ‘휴온발효 허니부쉬’ 제품을 쉽게 만나볼 수 있도록 일반음료뿐 아니라 건강기능식품으로도 다양한 라인업 확장에 심혈을 기울이고 있다”고 밝혔다.,http://www.bosa.co.kr/news/articleView.html?idxno=2066562
39,약업신문,"휴온스내츄럴 피부건강음료 ‘휴온발효 허니부쉬’, 올리브영 입점",휴온스내츄럴 관계자는?“앞으로 오프라인 매장에서 소비자들이 ‘휴온발효 허니부쉬’ 제품을 쉽게 만나볼 수 있도록 일반음료뿐 아니라 건강기능식품으로도 다양한 라인업 확장에 심혈을 기울이고 있다”고 밝혔다....,http://www.yakup.com/news/index.html?mode=view&cat=12&nid=208641
40,데이터넷,"발효꽃버섯 전문 훤우, 면역력강화에 도움","이 가운데, 베타글루칸이 다량 함유된 자연을 담은 훤우는 건강식품을 찾는 소비자가 많아짐에 따라 특별 할인 이벤트를 펼친다. 8월 11일 ~ 8월 31일까지 20% 할인가격으로 선보일 예정이다. 자연을 담은 훤우 관계자는...",http://www.datanet.co.kr/news/articleView.html?idxno=113725
41,베이비뉴스,"영화식품, 불면증에 좋은 음식으로 대추즙 선보여","ⓒ영화식품 천연주의 이념으로 건강식품을 제조하고 있는 영화식품은 색소, 향료, 설탕 등 합성첨가물을 넣지 않고 국내산 대추와 산조인, 천마, 연자육 등 숙면에 좋은 음식만을 사용한 100% 천연식품으로 소비자들에게...",http://www.ibabynews.com/news/newsview.aspx?newscode=201708111018171600003434&categorycode=0006
42,브릿지경제,"베툴린산, 폴리페놀 등 신체 활력 도움되는 유효 성분 함유한 상락수 차가버섯","베툴린산, 폴리페놀 등 신체 활력 도움되는 유효 성분 함유한 상락수 차가버섯 이른바 100세 시대를 맞아 나이가 들어서도 신체 활력을 유지할 수 있는 항산화 건강식품들이 최근 들어 관심을 모으고 있다. 대표적인...",http://www.viva100.com/main/view.php?key=20170810001932401
43,KBS 뉴스,상반기 해외직구 30% 증가…유럽·中·日로 다변화,"품목별로 보면 건강기능식품을 포함한 식품류가 372만건으로 가장 많고 화장품류 143만건, 의류 120만건 순이었다. 변기성기자 (byun@kbs.co.kr) ▶ [저작권자ⓒ KBS 무단복제-재배포 금지]",http://news.kbs.co.kr/news/view.do?ncd=3531692&ref=A
44,머니S,[머니S토리] 부츠 vs 올리브영 '명동대전',건강기능식품과 의약외품은 약국 주변에서 판매한다. 본문 이미지 영역 부츠 명동점 3층에 입점한 약국. /사진=박효선 기자 식품 코너에는 신세계 자체브랜드인 ‘노브랜드’와 ‘피코크’ 제품이 나열돼 있다....,http://www.moneyweek.co.kr/news/mwView.php?type=1&no=2017080314588019125&outlink=1
45,서울경제,"㈜뉴트리, 피부탄력까지 유지하는 다이어트 ‘뉴피니션’ 런칭","[서울경제] 건강기능식품 브랜드 ㈜뉴트리가 기존 다이어트의 단점을 보완한 ‘뉴피니션 다이어트’를 출시했다고 밝혔다. 극단적인 식단과 운동으로 체중은 감량했지만 피부 수분 및 탄력의 저하, 요요현상 등 각종...",http://www.sedaily.com/NewsView/1OJPKDPADQ
46,인사이트,"홈플러스, 길어진 추석연휴에 선물세트 사전예약 확대","특히 오는 31일까지는 신선식품, 가공식품, 건강, 위생용품세트 등 단일품목 기준 100만원 이상 대량구매 고객을 대상으로 최대 8%까지 추가 할인해주는 등 일찍 구매하는 고객에게 더 큰 혜택을 제공한다. 이 기간 동안...",http://www.insight.co.kr/news/115778
47,충청타임즈,청주 농식품 美 진출 교두보 마련,"상담회에선 전통 장류와 청원생명쌀, 김치, 건강기능성 식품 등에 대한 관심이 높았다. 특히 ㈔사슴클러스터사업단의 녹용·인삼 제품은 미국 현지 기업인 `KD ONE GROUP'와 10만달러(약 1억1000만원)의 수출계약을 체결했다....",http://www.cctimes.kr/news/articleView.html?idxno=500619
48,한국경제,"지엠팜, 오메가3 건강기능식품 3종 출시","건강기능식품 업체 지엠팜은 루테인, 코엔자임큐텐 등을 함유한 건강기능식품 3종을 출시했다고 11일 발표했다. 지엠팜은 더알티지 루테인 오메가3 , 더알티지 코큐텐 오메가3, 더알티지 징코 오메가3 등 3개 제품을 자사...",http://news.hankyung.com/article/2017081178806
49,헤럴드경제,"프로스테믹스, ‘프로바이오틱스’ 등 식품원료사업 본격진출",이를 토대로 건강기능식품 인허가를 추진 중이다. 또 지난 7월 건강기능성 원료 개발을 위한 중소기업청 혁신형 기술개발 사업에 최종 선정됐다. 프로스테믹스 관계자는 “줄기세포에서 시작된 세포 간 유효물질...,http://news.heraldcorp.com/view.php?ud=20170811000477
50,MBN,해외 직구 30% 증가…'시장의 다변화',"품목별로 보면 건강기능식품을 포함한 식품류가 372만건으로 가장 많고 화장품류 143만건, 의류 120만건 순이었습니다. TV나 스마트폰 등 전자제품류는 88만건으로 4위에 오르는데 그쳤다. 그러나 전년 대비...",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00009&news_seq_no=3309725
51,투데이신문,"천연물 소재 '발효 허니부쉬', 자외선 손상 피부 몸속부터 관리한다",'허니부쉬추출발효분말(HU-018)'을?함유한?다양한?제형의?건강기능식품을?개발해?피부?고민을?가진?여성들의?해결책을?제시한다.?'휴온발효허니부쉬'?제품은?홈쇼핑?등을?통해?주로?판매?될?예정이다.,http://www.ntoday.co.kr/news/articleView.html?idxno=54286
52,농수축산신문,'선진포크 바른농장' 동물복지 소비트렌드로 인기몰이,"박기노 선진 식육유통 BU 전무는 ""반려동물 1000만 시대 개막으로 높아진 동물복지 인식과 각종 질병으로 더욱 안전하고 건강한 식품에 대한 소비자 요구가 맞물려 동물복지 인증식품에 대한 관심이 전에 없이 높아지고...",http://www.aflnews.co.kr/news/articleView.html?idxno=134593
53,월간암,여름철 면역관리가 1년 건강을 좌우한다!,"면역력 증진 성분이 함유된 건강보조식품 섭취 최근 베타글루칸이 면역증강작용을 하는 것으로 알려져 관련 건강식품들이 많이 출시되고 있다. 그 중 베타글루칸과 활성산소를 제거하는 SOD성분, 피로회복에 도움을 주는...",http://www.cancerline.co.kr/html/18250.html
54,프라임경제,'미국 뉴욕뉴저지 교민 입맛' 사로잡은 청주시 농식품,"이번 수출상담회에서는 전통장류, 청원생명쌀, 한방삼계탕재료, 김치, 건강기능성식품, 선식류 등 청주시 농식품에 대한 관심이 높았다. 특히 (사)사슴클러스터사업단의 녹용·인삼제품이 미국 현지기업인 KD ONE GROUP과...",http://www.newsprime.co.kr/news/article.html?no=384563
55,시민일보,자외선 손상 피부 관리하는 '발효 허니부쉬' 주목,이와함께?휴온스내츄럴에서는?이런?소비자의?니즈를?만족시킬?건강식품?'발효허니부쉬홍삼골드'를?지난?5월?출시했다. ?업체?관계자에?따르면?100%?국내산?6년근?홍삼농축액을?사용하여?면역력증진?및...,http://www.siminilbo.co.kr/news/articleView.html?idxno=526629
56,SBS 뉴스,상반기 해외직구 30% 증가…유럽·중·일 직구시장 '쑥쑥',"품목별로는 건강기능식품을 포함한 식품류가 372만 건으로 가장 많고 화장품류, 의류 순으로 나타났습니다. ? 정혜경 기자(choice@sbs.co.kr) ☞ [나도펀딩] 내부고발자 돕기 ※ ⓒ SBS & SBS콘텐츠허브 : 무단복제 및...",http://news.sbs.co.kr/news/endPage.do?news_id=N1004341419&plink=ORI&cooper=NAVER
57,정책브리핑,"상반기 해외직구, 전년 동기 대비 34% 증가","ㅇ전통적으로 해외직구 인기 품목인 식품류(건강기능식품 포함)가 372만건으로 전년 동기 대비 37% 증가하였고, 화장품류 143만건으로 26%, 의류 120만건으로 23%, 신발류 88만건으로 32%, 완구 및 인형류 55만건으로 53...",http://www.korea.kr/policy/pressReleaseView.do?newsId=156219766
58,녹색경제신문,성인 2명 중 1명 '이상지질혈증'…예방에 좋은 음식은?,"이러한 흑마늘 효능에 힘입어 건강식품 업체에서는 흑마늘을 발효흑마늘, 흑마늘즙 등 다양한 제품으로 출시하고 있다. 흑마늘즙은 마시기 편하고 체내 흡수가 빨라 구매율이 높은 편이다. 흑마늘즙의 온전한 효능을...",http://www.greened.kr/news/articleView.html?idxno=32956
59,일간NTN,"올 상반기 해외직구, 전년比 34% 증가…해외직구시장 '다변화'","전통적으로 해외직구 인기 품목인 건강기능식품을 포함한 식품류가 372만건으로 1위를 차지했고, 뒤이어 화장품류 143만건, 의류 120만건, 신발류 88만건, 완구 및 인형류 55만건, 가방류 38만건 순으로 나타났다....",http://www.intn.co.kr/news/articleView.html?idxno=798084
60,뉴스토마토,"프로스테믹스, 식품 원료 사업 진출…""건기식 원료 공장 설립""",프로스테믹스는 새로운 방식의 유산균 배양 및 분리 기술을 확보해 과민성대장증후군 개선 연구 결과를 확보했으며 이를 토대로 건강기능식품 인허가를 추진 중이다. 또 지난 7월에는 건강기능성 원료 개발을 위한...,http://www.newstomato.com/ReadNews.aspx?no=771558
61,메디컬투데이,"프로스테믹스, 식품 원료 사업 진출…이그니스 지분 투자",프로스테믹스는 새로운 방식의 유산균 배양 및 분리 기술을 확보해 과민성대장증후군 개선 연구 결과를 확보했으며 이를 토대로 건강기능식품 인허가를 추진 중이다. 프로스테믹스 관계자는 “줄기세포에서 시작된...,http://www.mdtoday.co.kr/mdtoday/index.html?no=292956
62,위클리오늘,광복절 72주년 기념 기업 행사 '풍성'...일본군 위안부 문제 알리기 등,풀무원건강생활(대표?여익현)의?프리미엄?건강기능식품?브랜드?풀무원로하스의?로젠빈은?광복절을?기념해?10일부터?31일까지?'대한민국?여성건강?독립만세'?캠페인을?진행한다. 광복절을?맞아?안면홍조...,http://www.weeklytoday.com/news/articleView.html?idxno=57884
63,헤럴드경제,올해 상반기 해외직구 30% 증가…中 공기청정기 11배↑,"품목별로 보면 건강기능식품을 포함한 식품류가 372만건으로 가장 많고 화장품류 143만건, 의류 120만건 순이었다. TV나 스마트폰 등 전자제품류는 88만건으로 4위에 오르는데 그쳤다. 그러나 전년 대비 증가율로는...",http://news.heraldcorp.com/view.php?ud=20170811000522
64,시사오늘,"휴온스 '발효 허니부쉬', 이너뷰티 소재로 '주목'",특히 휴온스내츄럴 식품브랜드 챙김의 '휴온발효허니부쉬'는 피부 속부터 자외선에 의한 피부 손상을 최소화하기 위해 '허니부쉬추출발효분말(HU-018)'을 함유한 다양한 제형의 건강기능식품을 개발했다....,http://www.sisaon.co.kr/news/articleView.html?idxno=61258
65,백세시대,"천식과 면역력, 관계가 있다?","또한 면역력을 높여 알레르기를 자연 치유시켜 준다는 각종 약물과 건강기능식품에 현혹돼 시간 낭비, 돈 낭비를 하지 않기를 당부한다. 식품 섭취만으로는 절대 천식을 치료할 수 없으며, 설사 그 식품에 알레르기 효과가...",http://www.100ssd.co.kr/news/articleView.html?idxno=40254
66,메디컬투데이,해외직구 상반기 30% 이상 ↑…중국산 공기청정기 11배 증가,"전통적으로 해외직구 인기 품목인 식품류(건강기능식품 포함)가 372만건으로 전년 동기 대비 37% 증가했고, 화장품류 143만건으로 26%, 의류 120만건으로 23%, 신발류 88만건으로 32%, 완구 및 인형류 55만건으로 53...",http://www.mdtoday.co.kr/mdtoday/index.html?no=292966
